,marker,FullStack,ilastik,ilastik_number,membrane,cytoplasm,nuclear,membrane_cytoplasm
0,ArgonDimers,1,0,-1,0,0,0,0
1,RutheniumTetroxide,2,0,-1,0,0,0,0
2,RutheniumTetroxide,3,0,-1,0,0,0,0
3,RutheniumTetroxide,4,0,-1,0,0,0,0
4,RutheniumTetroxide,5,0,-1,0,0,0,0
5,RutheniumTetroxide,6,0,-1,0,0,0,0
6,RutheniumTetroxide,7,0,-1,0,0,0,0
7,RutheniumTetroxide,8,0,-1,0,0,0,0
8,Histone H3,9,1,1,0,0,1,0
9,Histone H3,12,1,2,0,0,1,0
10,Cytokeratin 5,13,0,-1,0,1,0,0
11,Fibronectin,14,1,3,0,1,1,0
12,Cytokeratin 19,15,1,4,0,1,0,1
13,Cytokeratin 8/18,16,1,5,0,1,0,1
14,Twist,17,1,6,0,0,0,1
15,CD68,18,1,7,0,1,0,1
16,Keratin 14 (KRT14),19,0,-1,0,1,0,0
17,SMA,20,0,-1,0,1,0,0
18,Vimentin,21,1,8,0,1,0,1
19,c-Myc,22,1,9,0,0,0,1
20,c-erbB-2 - Her2,23,0,-1,1,0,0,0
21,CD3,24,0,-1,1,0,0,0
22,Histone H3,25,1,10,0,0,0,1
23,Erk1/2,26,0,-1,1,1,0,0
24,Slug,27,1,11,0,0,1,0
25,Rabbit IgG H L,28,0,-1,0,0,0,0
26,Progesterone Receptor A/B,29,0,-1,0,0,0,0
27,p53,30,0,-1,0,0,0,0
28,CD44,31,0,-1,1,0,0,0
29,EpCAM,32,0,-1,1,0,0,0
30,CD45,33,1,12,1,0,0,1
31,GATA3,34,0,-1,0,0,0,0
32,CD20,35,0,-1,1,0,0,0
33,b-Catenin,36,1,13,1,0,1,0
34,Carbonic Anhydrase IX,37,0,-1,1,0,0,0
35,undefined,38,0,-1,0,0,0,0
36,Ki-67,39,0,-1,0,0,0,0
37,EGFR,40,1,14,1,0,0,1
38,S6,41,0,-1,0,1,0,0
39,Sox9,42,0,-1,0,0,0,0
40,vWF,43,0,-1,0,1,0,0
41,mTOR,44,1,15,0,0,0,1
42,Cytokeratin 7,45,0,-1,0,1,0,0
43,pan Cytokeratin,46,0,-1,0,1,0,0
44,cleaved PARP,47,1,16,0,0,0,1
45,undefined,,1,17,1,0,0,1
46,undefined,,0,-1,1,0,0,0
47,DNA1,48,1,18,0,0,1,0
48,DNA2,49,1,19,0,0,1,0
49,undefined,,0,-1,0,0,0,0
50,undefined,,0,-1,0,0,0,0
51,undefined,,0,-1,0,0,0,0
